emoji,variant,base,detail,outline,mane_base,mane_high,face_base,face_inner,ear_inner,nose,whisker_dot,eye,body_base,wing,beak,leaf_base,leaf_detail,flower,stem,body,window,wheel
1f1e7-1f1fe,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1fe,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1fe,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1fe,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1fe,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1ff,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1ff,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1ff,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1ff,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e7-1f1ff,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e7,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e7,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e7,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e7,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e7,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e8-1f1e6,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
1f1e8-1f1e6,2,#ffa64d,#d48733,#000000,,,,,,,,,,,,,,,,,,
1f1e8-1f1e6,3,#66cc99,#48a36d,#000000,,,,,,,,,,,,,,,,,,
1f1e8-1f1e6,4,#00cfcf,#00b2b2,#000000,,,,,,,,,,,,,,,,,,
1f1e8-1f1e6,5,#b051f5,#894fd8,#000000,,,,,,,,,,,,,,,,,,
1f1e8-1f1e8,1,#6f4e37,#5a3828,#000000,,,,,,,,,,,,,,,,,,
